"chr","new_wind","count_sl_15_30","count_sl_16_50","count_sl_6_15","length_sl_15_30","length_sl_16_50","length_sl_6_15","from","to","coverage_sl_15_30","coverage_sl_16_50","coverage_sl_6_15"
"1",169,8232,256,17548,459380,11599,501211,168000000,169000000,0.45938,0.011599,0.501211
"1",170,8345,333,17591,488688,15169,522816,169000000,170000000,0.488688,0.015169,0.522816
"1",171,8274,264,17639,472753,10810,514260,170000000,171000000,0.472753,0.01081,0.51426
"1",172,8285,284,17670,476425,13039,511520,171000000,172000000,0.476425,0.013039,0.51152
"1",173,8258,293,17455,474579,12458,510983,172000000,173000000,0.474579,0.012458,0.510983
"1",174,8331,276,17762,468194,11299,507088,173000000,174000000,0.468194,0.011299,0.507088
"1",175,8229,306,17649,485614,13544,520161,174000000,175000000,0.485614,0.013544,0.520161
"1",176,8201,203,17530,444664,9777,493321,175000000,176000000,0.444664,0.009777,0.493321
"1",177,8224,284,17433,462267,12359,502615,176000000,177000000,0.462267,0.012359,0.502615
"1",178,8234,230,17417,449365,10633,493601,177000000,178000000,0.449365,0.010633,0.493601
"1",179,8399,262,17738,479528,10988,512404,178000000,179000000,0.479528,0.010988,0.512404
"1",180,8400,251,17827,472519,10729,511545,179000000,180000000,0.472519,0.010729,0.511545
"1",181,8474,318,17646,485456,13241,515610,180000000,181000000,0.485456,0.013241,0.51561
"1",182,8184,221,17535,441776,9341,488403,181000000,182000000,0.441776,0.009341,0.488403
"1",183,8315,272,17762,457704,12305,502194,182000000,183000000,0.457704,0.012305,0.502194
"1",184,8437,259,17733,466814,10515,503614,183000000,184000000,0.466814,0.010515,0.503614
